variable,long_name,standard_name,cell_methods,cell_measures,units,positive,dimensions,modeling_realm,frequency
fco2fos,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,atmos,mon
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,area: time: mean,area: areacella,kg m-2 s-1,NA,longitude latitude time,atmos,mon
cl,Percentage Cloud Cover,cloud_area_fraction_in_atmosphere_layer,area: time: mean,area: areacella,%,NA,longitude latitude alevel time,atmos,mon
clw,Mass Fraction of Cloud Liquid Water,mass_fraction_of_cloud_liquid_water_in_air,area: time: mean,area: areacella,kg kg-1,NA,longitude latitude alevel time,atmos,mon
cli,Mass Fraction of Cloud Ice,mass_fraction_of_cloud_ice_in_air,area: time: mean,area: areacella,kg kg-1,NA,longitude latitude alevel time,atmos,mon
mc,Convective Mass Flux,atmosphere_net_upward_convective_mass_flux,area: time: mean,area: areacella,kg m-2 s-1,up,longitude latitude alevhalf time,atmos,mon
ta,Air Temperature,air_temperature,time: mean,area: areacella,K,NA,longitude latitude plev19 time,atmos,mon
ta200,Air Temperature,air_temperature,time: mean,area: areacella,K,NA,longitude latitude plev19 time,atmos,mon
ta500,Air Temperature,air_temperature,time: mean,area: areacella,K,NA,longitude latitude plev19 time,atmos,mon
ta850,Air Temperature,air_temperature,time: mean,area: areacella,K,NA,longitude latitude plev19 time,atmos,mon
ua,Eastward Wind,eastward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
ua200,Eastward Wind,eastward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
ua500,Eastward Wind,eastward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
ua850,Eastward Wind,eastward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
va,Northward Wind,northward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
va200,Northward Wind,northward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
va500,Northward Wind,northward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
va850,Northward Wind,northward_wind,time: mean,area: areacella,m s-1,NA,longitude latitude plev19 time,atmos,mon
hus,Specific Humidity,specific_humidity,time: mean,area: areacella,1,NA,longitude latitude plev19 time,atmos,mon
hus200,Specific Humidity,specific_humidity,time: mean,area: areacella,1,NA,longitude latitude plev19 time,atmos,mon
hus500,Specific Humidity,specific_humidity,time: mean,area: areacella,1,NA,longitude latitude plev19 time,atmos,mon
hus850,Specific Humidity,specific_humidity,time: mean,area: areacella,1,NA,longitude latitude plev19 time,atmos,mon
hur,Relative Humidity,relative_humidity,time: mean,area: areacella,%,NA,longitude latitude plev19 time,atmos,mon
wap,Omega (=dp/dt),lagrangian_tendency_of_air_pressure,time: mean,area: areacella,Pa s-1,NA,longitude latitude plev19 time,atmos,mon
zg,Geopotential Height,geopotential_height,time: mean,area: areacella,m,NA,longitude latitude plev19 time,atmos,mon
